FFT1,FFT2,FFT3,FFT4,RMS,PSD,DWT1,DWT2,DWT3,DWT4,DWT5,DWT6,DWT7
5105.0,1296.9741173206041,1296.9741173206041,322.13333355685864,183.06091882212326,897.8331308222821,363.45288552988546,366.2813126546316,357.7960312803931,344.3610024378487,328.0975464705581,306.88434303496166,283.5498192558056
9207.0,787.5657619044217,787.5657619044217,181.91939794957156,309.34376778378237,11761.877414798939,376.88791437242986,406.58639918226487,433.45645686735367,453.255446740577,478.0041840821061,486.48946545634476,490.732106143464
5858.0,1200.815958058512,1200.815958058512,225.15941058498476,204.09556585090232,0.027317975526561258,331.63308037649085,357.08892449920654,376.1808075912433,385.37319574666844,378.3021279348029,358.50313806157965,328.80465325174464
4587.0,1090.8436614651985,1090.8436614651985,275.8131333849024,162.79936527312793,928.5514986581172,324.5620125646253,309.7127701597078,304.05591591021545,300.52038200428274,294.8635277547903,287.08535316173834,253.144227664784
4305.0,344.7078059741346,344.7078059741346,79.03470406355149,144.4828709570792,1250.8304935213343,193.74725804511402,197.9898987322333,211.4249275747777,220.61731573020285,222.73863607376248,226.98127676088177,231.93102422918759
4831.0,1095.1425545158907,1095.1425545158907,213.16176044506815,170.35697813708717,164.9357089523312,302.6417023478424,303.3488091290289,299.10616844190963,310.41987694089437,316.78383797157335,304.0559159102155,289.20667350529794
4250.0,672.4000582615745,672.4000582615745,160.29996560998174,145.68344678331394,0.0017227929656161674,234.05234457274724,241.83051916579927,247.48737341529164,260.9224022578361,263.75082938258225,251.0229073212244,229.80970388562798
4611.0,1126.4119064553697,1126.4119064553697,242.15606296123906,164.13378689349736,1594.345667378309,323.85490578343877,324.5620125646253,320.31937187750606,313.95541084682714,296.98484809834997,273.65032431919394,241.83051916579927
4377.0,627.1599609702079,627.1599609702079,199.2996058124916,149.66217513676148,0.06298605158155449,263.75082938258225,260.92240225783604,257.38686835190333,250.31580054003786,248.90158697766475,247.48737341529164,237.58787847867998
4604.0,464.55040609462606,464.55040609462606,110.31550814287033,155.14982006649788,4122.029422649887,188.7975105768082,192.33304448274095,199.40411229460642,210.01071401240463,234.05234457274724,260.9224022578361,270.82189719444773
5260.0,1051.9275413100775,1051.9275413100775,232.6623646853435,182.87573194203034,108.8217242549479,309.7127701597078,311.8340905032675,317.4909447527599,324.5620125646253,321.73358543987916,320.31937187750606,308.2985565973347
4459.0,1340.7431137196013,1340.7431137196013,292.5118947988454,163.4094040541527,2877.6439371474175,323.85490578343877,335.1686142824235,342.23968209428904,333.0472939388639,311.1269837220809,276.47875144394015,229.10259710444143
4691.0,741.9716046590746,741.9716046590746,135.9798458635617,160.70936500403454,2.6390952309426616,267.28636328851496,274.35743110038044,275.77164466275354,277.8929650063132,283.5498192558056,276.47875144394015,255.26554800834367
